Organisation Code;Organisation Name;All Procedures - Total HES Procedures;All Procedures - Total Pre-Op Qs;All Procedures - Participation Rate;All Procedures - Total Linked;All Procedures - Linkage rate;All Procedures - Total Q2s sent to date;All Procedures - Issue rate;All Procedures - Total Q2s returned to date;All Procedures - Response rate;Hip Replacement - Total HES Procedures;Hip Replacement - Total Pre-Op Qs;Hip Replacement - Participation Rate;Hip Replacement - Total Linked;Hip Replacement - Linkage rate;Hip Replacement - Total Q2s sent to date;Hip Replacement - Issue rate;Hip Replacement - Total Q2s returned to date;Hip Replacement - Response rate;Primary Hip Replacement - Total HES Procedures;Primary Hip Replacement - Total Pre-Op Qs;Primary Hip Replacement - Participation Rate;Primary Hip Replacement - Total Linked;Primary Hip Replacement - Linkage rate;Primary Hip Replacement - Total Q2s sent to date;Primary Hip Replacement - Issue rate;Primary Hip Replacement - Total Q2s returned to date;Primary Hip Replacement - Response rate;Revision Hip Replacement - Total HES Procedures;Revision Hip Replacement - Total Pre-Op Qs;Revision Hip Replacement - Participation Rate;Revision Hip Replacement - Total Linked;Revision Hip Replacement - Linkage rate;Revision Hip Replacement - Total Q2s sent to date;Revision Hip Replacement - Issue rate;Revision Hip Replacement - Total Q2s returned to date;Revision Hip Replacement - Response rate;Knee Replacement - Total HES Procedures;Knee Replacement - Total Pre-Op Qs;Knee Replacement - Participation Rate;Knee Replacement - Total Linked;Knee Replacement - Linkage rate;Knee Replacement - Total Q2s sent to date;Knee Replacement - Issue rate;Knee Replacement - Total Q2s returned to date;Knee Replacement - Response rate;Primary Knee Replacement - Total HES Procedures;Primary Knee Replacement - Total Pre-Op Qs;Primary Knee Replacement - Participation Rate;Primary Knee Replacement - Total Linked;Primary Knee Replacement - Linkage rate;Primary Knee Replacement - Total Q2s sent to date;Primary Knee Replacement - Issue rate;Primary Knee Replacement - Total Q2s returned to date;Primary Knee Replacement - Response rate;Revision Knee Replacement - Total HES Procedures;Revision Knee Replacement - Total Pre-Op Qs;Revision Knee Replacement - Participation Rate;Revision Knee Replacement - Total Linked;Revision Knee Replacement - Linkage rate;Revision Knee Replacement - Total Q2s sent to date;Revision Knee Replacement - Issue rate;Revision Knee Replacement - Total Q2s returned to date;Revision Knee Replacement - Response rate;CSVYear
NT447;BMI THE DUCHY HOSPITAL;184;188;10.217.391;161;0.856383;187;0.9946809;159;0.8502674;101;99;0.980198;91;0.9191919;99;1;80;0.8080808;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;83;89;10.722.892;70;0.7865169;88;0.988764;79;0.8977273;83;70;0.8433735;70;1;70;1;65;0.9285714;0;0;0;0;0;0;0;0;0;2016/17
NT447;BMI THE DUCHY HOSPITAL;142;106;0.7464789;91;0.8584906;106;1.0;78;0.7358491;68;46;0.6764706;42;0.9130435;46;1;39;0.8478261;68;42;0.6176471;42;1;42;1;37;0.8809524;0;0;0;0;0;0;0;0;0;74;60;0.8108108;49;0.8166667;60;1;39;0.65;74;49;0.6621622;49;1;49;1;35;0.7142857;0;0;0;0;0;0;0;0;0;2017/18
NT447;BMI THE DUCHY HOSPITAL;145;110;0.7586207;98;0.8909091;109;0.9909091;88;0.8073394;68;59;0.8676471;53;0.8983051;58;0.9830508;44;0.7586207;68;53;0.7794118;53;1;52;0.9811321;41;0.7884615;0;0;0;0;0;0;0;0;0;77;51;0.6623377;45;0.8823529;51;1;44;0.8627451;77;45;0.5844156;45;1;45;1;40;0.8888889;0;0;0;0;0;0;0;0;0;2018/19
NT445;BMI THE EDGBASTON HOSPITAL;162;170;10.493.827;141;0.8294118;168;0.9882353;114;0.6785714;78;76;0.974359;66;0.8684211;75;0.9868421;60;0.8;78;66;0.8461538;66;1;66;1;54;0.8181818;0;0;0;0;0;0;0;0;0;84;94;11.190.476;75;0.7978723;93;0.9893617;54;0.5806452;84;75;0.8928571;75;1;74;0.9866667;46;0.6216216;0;0;0;0;0;0;0;0;0;2016/17
NT445;BMI THE EDGBASTON HOSPITAL;141;129;0.9148936;107;0.8294574;129;1.0;97;0.751938;55;49;0.8909091;41;0.8367347;49;1;35;0.7142857;55;41;0.7454545;41;1;41;1;28;0.6829268;0;0;0;0;0;0;0;0;0;86;80;0.9302326;66;0.825;80;1;62;0.775;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NT445;BMI THE EDGBASTON HOSPITAL;137;146;10.656.934;115;0.7876712;145;0.9931507;89;0.6137931;48;52;10.833.333;42;0.8076923;52;1;30;0.5769231;*;42;*;42;1;42;1;24;0.5714286;*;0;*;0;0;0;0;0;0;89;94;10.561.798;73;0.7765957;93;0.9893617;59;0.6344086;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT448;BMI THE HUDDERSFIELD HOSPITAL;417;312;0.7482014;252;0.8076923;312;1.0;241;0.7724359;139;121;0.8705036;108;0.892562;121;1;103;0.8512397;139;108;0.7769784;108;1;108;1;95;0.8796296;0;0;0;0;0;0;0;0;0;278;191;0.6870504;144;0.7539267;191;1;138;0.7225131;272;*;*;*;*;*;*;*;*;6;*;*;*;*;*;*;*;*;2016/17
NT448;BMI THE HUDDERSFIELD HOSPITAL;357;258;0.7226891;214;0.8294574;257;0.996124;199;0.7743191;99;70;0.7070707;59;0.8428571;70;1;55;0.7857143;99;59;0.5959596;59;1;59;1;49;0.8305085;0;0;0;0;0;0;0;0;0;258;188;0.7286822;155;0.8244681;187;0.9946809;144;0.7700535;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NT448;BMI THE HUDDERSFIELD HOSPITAL;400;239;0.5975;202;0.8451883;236;0.9874477;185;0.7838983;101;57;0.5643564;49;0.8596491;57;1;44;0.7719298;101;49;0.4851485;49;1;49;1;39;0.7959184;0;0;0;0;0;0;0;0;0;299;182;0.6086957;153;0.8406593;179;0.9835165;141;0.7877095;288;*;*;*;*;*;*;*;*;11;*;*;*;*;*;*;*;*;2018/19
NT449;BMI THE LANCASTER HOSPITAL;170;249;14.647.059;140;0.562249;247;0.9919679;197;0.7975709;61;94;15.409.836;46;0.4893617;92;0.9787234;72;0.7826087;*;46;*;46;1;46;1;38;0.826087;*;0;*;0;0;0;0;0;0;109;155;14.220.183;94;0.6064516;155;1;125;0.8064516;109;94;0.8623853;94;1;94;1;76;0.8085106;0;0;0;0;0;0;0;0;0;2016/17
NT449;BMI THE LANCASTER HOSPITAL;176;220;1.25;143;0.65;220;1.0;161;0.7318182;85;106;12.470.588;72;0.6792453;106;1;77;0.7264151;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;91;114;12.527.473;71;0.622807;114;1;84;0.7368421;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NT449;BMI THE LANCASTER HOSPITAL;149;149;1.0;128;0.8590604;148;0.9932886;108;0.7297297;61;56;0.9180328;48;0.8571429;55;0.9821429;40;0.7272727;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;88;93;10.568.182;80;0.8602151;93;1;68;0.7311828;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NT450;BMI THE LINCOLN HOSPITAL;316;345;10.917.722;284;0.8231884;343;0.9942029;289;0.8425656;140;142;10.142.857;125;0.8802817;142;1;124;0.8732394;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;176;203;11.534.091;159;0.7832512;201;0.9901478;165;0.8208955;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2016/17
NT450;BMI THE LINCOLN HOSPITAL;351;271;0.7720798;247;0.9114391;271;1.0;224;0.8265683;156;119;0.7628205;108;0.907563;119;1;99;0.8319328;*;108;*;108;1;108;1;91;0.8425926;*;0;*;0;0;0;0;0;0;195;152;0.7794872;139;0.9144737;152;1;125;0.8223684;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NT450;BMI THE LINCOLN HOSPITAL;372;235;0.6317204;223;0.9489362;233;0.9914894;204;0.8755365;170;96;0.5647059;91;0.9479167;95;0.9895833;86;0.9052632;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;202;139;0.6881188;132;0.9496403;138;0.9928058;118;0.8550725;193;*;*;*;*;*;*;*;*;9;*;*;*;*;*;*;*;*;2018/19
NT457;BMI WOODLANDS HOSPITAL;649;685;105.547;582;0.849635;684;0.9985401;556;0.8128655;265;293;11.056.604;250;0.8532423;293;1;233;0.7952218;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;384;392;10.208.333;332;0.8469388;391;0.997449;323;0.826087;372;320;0.8602151;320;1;319;0.996875;279;0.8746082;12;12;1;12;1;12;1;6;0.5;2016/17
NT457;BMI WOODLANDS HOSPITAL;669;480;0.7174888;447;0.93125;480;1.0;392;0.8166667;300;206;0.6866667;194;0.9417476;206;1;174;0.8446602;293;*;*;*;*;*;*;*;*;7;*;*;*;*;*;*;*;*;369;274;0.7425474;253;0.9233577;274;1;218;0.7956204;355;243;0.684507;243;1;243;1;203;0.8353909;14;10;0.7142857;10;1;10;1;6;0.6;2017/18
NT457;BMI WOODLANDS HOSPITAL;578;231;0.399654;214;0.9264069;231;1.0;174;0.7532468;271;104;0.3837638;96;0.9230769;104;1;76;0.7307692;265;*;*;*;*;*;*;*;*;6;*;*;*;*;*;*;*;*;307;127;0.4136808;118;0.9291339;127;1;98;0.7716535;299;*;*;*;*;*;*;*;*;8;*;*;*;*;*;*;*;*;2018/19
RMC;BOLTON NHS FOUNDATION TRUST;392;348;0.8877551;288;0.8275862;346;0.9942529;256;0.7398844;173;162;0.9364162;137;0.845679;160;0.9876543;121;0.75625;162;131;0.808642;131;1;131;1;104;0.7938931;11;6;0.5454545;6;1;6;1;5;0.8333333;219;186;0.8493151;151;0.811828;186;1;135;0.7258065;206;143;0.6941748;143;1;143;1;111;0.7762238;13;8;0.6153846;8;1;8;1;6;0.75;2016/17
RMC;BOLTON NHS FOUNDATION TRUST;396;387;0.9772727;294;0.7596899;381;0.9844961;237;0.6220472;150;155;10.333.333;111;0.716129;151;0.9741935;90;0.5960265;*;*;*;*;*;*;*;78;*;*;*;*;*;*;*;*;0;*;246;232;0.9430894;183;0.7887931;230;0.9913793;147;0.6391304;232;173;0.7456897;173;1;173;1;116;0.6705202;14;10;0.7142857;10;1;10;1;7;0.7;2017/18
RMC;BOLTON NHS FOUNDATION TRUST;425;351;0.8258824;294;0.8376068;349;0.994302;232;0.6647564;171;153;0.8947368;120;0.7843137;152;0.9934641;92;0.6052632;165;*;*;*;*;*;*;*;*;6;*;*;*;*;*;*;*;*;254;198;0.7795276;174;0.8787879;197;0.9949495;140;0.7106599;240;167;0.6958333;167;1;166;0.994012;125;0.753012;14;7;0.5;7;1;7;1;5;0.7142857;2018/19
RAE;BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST;492;375;0.7621951;276;0.736;338;0.9013333;216;0.6390533;181;126;0.6961326;103;0.8174603;116;0.9206349;74;0.637931;165;*;*;*;*;*;*;*;*;16;*;*;*;*;*;*;*;*;311;249;0.8006431;173;0.6947791;222;0.8915663;142;0.6396396;285;161;0.5649123;161;1;151;0.9378882;108;0.7152318;26;12;0.4615385;12;1;11;0.9166667;6;0.5454545;2016/17
RAE;BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST;512;423;0.8261719;310;0.7328605;377;0.891253;223;0.5915119;169;134;0.7928994;98;0.7313433;125;0.9328358;75;0.6;144;90;0.625;90;1;86;0.9555556;57;0.6627907;25;8;0.32;8;1;8;1;7;0.875;343;289;0.8425656;212;0.733564;252;0.8719723;148;0.5873016;322;202;0.6273292;202;1;184;0.9108911;128;0.6956522;21;10;0.4761905;10;1;10;1;4;0.4;2017/18
RAE;BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST;585;435;0.7435897;301;0.691954;398;0.9149425;226;0.5678392;192;151;0.7864583;105;0.6953642;138;0.9139073;80;0.5797101;175;97;0.5542857;97;1;92;0.9484536;64;0.6956522;17;8;0.4705882;8;1;8;1;4;0.5;393;284;0.7226463;196;0.6901408;260;0.915493;146;0.5615385;369;185;0.501355;185;1;176;0.9513514;115;0.6534091;24;11;0.4583333;11;1;11;1;4;0.3636364;2018/19
RXH;BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST;927;816;0.8802589;616;0.754902;815;0.9987745;539;0.6613497;435;367;0.8436782;280;0.7629428;367;1;238;0.6485014;336;229;0.6815476;229;1;229;1;167;0.7292576;99;51;0.5151515;51;1;51;1;41;0.8039216;492;449;0.9126016;336;0.7483296;448;0.9977728;301;0.671875;440;302;0.6863636;302;1;301;0.9966887;235;0.7807309;52;34;0.6538462;34;1;34;1;21;0.6176471;2016/17
RXH;BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST;767;731;0.9530639;610;0.8344733;699;0.9562244;488;0.6981402;378;360;0.952381;299;0.8305556;341;0.9472222;238;0.6979472;313;258;0.8242812;258;1;256;0.9922481;192;0.75;65;41;0.6307692;41;1;41;1;27;0.6585366;389;371;0.9537275;311;0.8382749;358;0.9649596;250;0.698324;347;285;0.8213256;285;1;285;1;212;0.7438596;42;26;0.6190476;26;1;26;1;18;0.6923077;2017/18
RXH;BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST;752;726;0.9654255;556;0.7658402;653;0.899449;442;0.676876;354;335;0.9463277;260;0.7761194;306;0.9134328;194;0.6339869;287;222;0.7735192;222;1;219;0.9864865;155;0.7077626;67;38;0.5671642;38;1;38;1;28;0.7368421;398;391;0.9824121;296;0.7570332;347;0.887468;248;0.7146974;347;261;0.7521614;261;1;260;0.9961686;197;0.7576923;51;35;0.6862745;35;1;34;0.9714286;26;0.7647059;2018/19
RXQ;BUCKINGHAMSHIRE HEALTHCARE NHS TRUST;625;546;0.8736;247;0.452381;543;0.9945055;342;0.6298343;328;280;0.8536585;149;0.5321429;278;0.9928571;199;0.7158273;293;142;0.4846416;142;1;142;1;124;0.8732394;35;7;0.2;7;1;7;1;6;0.8571429;297;266;0.8956229;98;0.3684211;265;0.9962406;143;0.5396226;266;*;*;*;*;*;*;*;*;31;*;*;*;*;*;*;*;*;2016/17
RXQ;BUCKINGHAMSHIRE HEALTHCARE NHS TRUST;660;828;12.545.455;215;0.2596618;819;0.9891304;402;0.4908425;357;403;11.288.515;132;0.3275434;395;0.9801489;216;0.5468354;324;126;0.3888889;126;1;124;0.984127;86;0.6935484;33;6;0.1818182;6;1;6;1;6;1;303;425;14.026.403;83;0.1952941;424;0.9976471;186;0.4386792;289;*;*;*;*;*;*;*;*;14;*;*;*;*;*;*;*;*;2017/18
RXQ;BUCKINGHAMSHIRE HEALTHCARE NHS TRUST;744;795;10.685.484;209;0.2628931;792;0.9962264;350;0.4419192;339;347;10.235.988;97;0.2795389;345;0.9942363;150;0.4347826;309;89;0.2880259;89;1;88;0.988764;58;0.6590909;30;8;0.2666667;8;1;8;1;5;0.625;405;448;11.061.728;112;0.25;447;0.9977679;200;0.4474273;388;106;0.2731959;106;1;105;0.990566;71;0.6761905;17;6;0.3529412;6;1;6;1;4;0.6666667;2018/19
RJF;BURTON HOSPITALS NHS FOUNDATION TRUST;651;679;10.430.108;469;0.6907216;678;0.9985272;537;0.7920354;311;302;0.9710611;230;0.7615894;301;0.9966887;255;0.8471761;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;340;377;11.088.235;239;0.6339523;377;1;282;0.7480106;*;239;0.7091988;*;1;239;1;204;0.8535565;*;0;*;0;0;0;0;0;0;2016/17
RJF;BURTON HOSPITALS NHS FOUNDATION TRUST;626;639;10.207.668;412;0.6447574;638;0.9984351;449;0.7037618;260;245;0.9423077;174;0.7102041;245;1;178;0.7265306;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;366;394;10.765.027;238;0.6040609;393;0.9974619;271;0.6895674;357;*;*;*;*;*;*;*;*;9;*;*;*;*;*;*;*;*;2017/18
RJF;BURTON HOSPITALS NHS FOUNDATION TRUST;0;175;0.0;0;0.0;175;1.0;142;0.8114286;0;85;0;0;0;85;1;70;0.8235294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;90;1;72;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2018/19
RWY;CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST;1042;940;0.9021113;886;0.9425532;937;0.9968085;772;0.8239061;539;479;0.8886827;469;0.9791232;479;1;408;0.8517745;510;445;0.872549;445;1;445;1;378;0.8494382;29;24;0.8275862;24;1;24;1;23;0.9583333;503;461;0.916501;417;0.9045553;458;0.9934924;364;0.7947598;481;404;0.8399168;404;1;402;0.9950495;322;0.800995;22;13;0.5909091;13;1;13;1;9;0.6923077;2016/17
RWY;CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST;829;745;0.8986731;715;0.9597315;743;0.9973154;588;0.7913863;415;375;0.9036145;361;0.9626667;374;0.9973333;300;0.802139;383;335;0.8746736;335;1;335;1;273;0.8149254;32;26;0.8125;26;1;26;1;20;0.7692308;414;370;0.8937198;354;0.9567568;369;0.9972973;288;0.7804878;390;339;0.8692308;339;1;339;1;271;0.79941;24;15;0.625;15;1;15;1;10;0.6666667;2017/18
RWY;CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST;929;857;0.9224973;820;0.9568261;854;0.9964994;654;0.765808;460;431;0.9369565;418;0.9698376;429;0.9953596;352;0.8205128;426;388;0.9107981;388;1;387;0.9974227;319;0.8242894;34;30;0.8823529;30;1;29;0.9666667;25;0.862069;469;426;0.9083156;402;0.943662;425;0.9976526;302;0.7105882;443;381;0.8600451;381;1;380;0.9973753;282;0.7421053;26;21;0.8076923;21;1;21;1;12;0.5714286;2018/19
RGT;CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;989;963;0.9737108;753;0.7819315;960;0.9968847;692;0.7208333;530;478;0.9018868;382;0.7991632;476;0.9958159;344;0.7226891;497;366;0.7364185;366;1;365;0.9972678;281;0.769863;33;16;0.4848485;16;1;16;1;13;0.8125;459;485;10.566.449;371;0.7649485;484;0.9979381;348;0.7190083;425;356;0.8376471;356;1;356;1;285;0.8005618;34;15;0.4411765;15;1;15;1;8;0.5333333;2016/17
RGT;CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;779;797;10.231.065;439;0.5508156;792;0.9937265;451;0.5694444;418;407;0.9736842;216;0.5307125;404;0.992629;224;0.5544554;368;196;0.5326087;196;1;195;0.994898;125;0.6410256;50;20;0.4;20;1;20;1;16;0.8;361;390;10.803.324;223;0.5717949;388;0.9948718;227;0.5850515;331;210;0.6344411;210;1;209;0.9952381;153;0.7320574;30;13;0.4333333;13;1;13;1;9;0.6923077;2017/18
RGT;CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;1104;724;0.6557971;519;0.7168508;714;0.9861878;467;0.6540616;539;340;0.6307978;246;0.7235294;334;0.9823529;217;0.6497006;506;233;0.4604743;233;1;231;0.9914163;166;0.7186147;33;13;0.3939394;13;1;12;0.9230769;8;0.6666667;565;384;0.679646;273;0.7109375;380;0.9895833;250;0.6578947;534;265;0.4962547;265;1;264;0.9962264;192;0.7272727;31;8;0.2580645;8;1;8;1;7;0.875;2018/19
RW3;CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;643;349;0.5427683;165;0.4727794;349;1.0;240;0.6876791;287;173;0.6027875;73;0.4219653;173;1;118;0.6820809;267;*;*;*;*;*;*;*;*;20;*;*;*;*;*;*;*;*;356;176;0.494382;92;0.5227273;176;1;122;0.6931818;343;*;*;*;*;*;*;*;*;13;*;*;*;*;*;*;*;*;2016/17
RW3;CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST;0;362;0.0;0;0.0;362;1.0;225;0.621547;0;131;0;0;0;131;1;79;0.6030534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;231;1;146;0.6320346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2017/18
RQM;CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST;686;211;0.3075802;93;0.4407583;206;0.9763033;100;0.4854369;328;96;0.2926829;59;0.6145833;96;1;49;0.5104167;312;*;*;*;*;*;*;33;*;16;*;*;*;*;*;*;0;*;358;115;0.3212291;34;0.2956522;110;0.9565217;51;0.4636364;341;34;0.0997067;34;1;33;0.9705882;17;0.5151515;17;0;0;0;0;0;0;0;0;2016/17
RQM;CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST;611;558;0.913257;283;0.5071685;520;0.9318996;249;0.4788462;271;235;0.8671587;141;0.6;215;0.9148936;122;0.5674419;261;*;*;*;*;*;*;*;*;10;*;*;*;*;*;*;*;*;340;323;0.95;142;0.4396285;305;0.9442724;127;0.4163934;331;*;*;*;*;*;*;*;*;9;*;*;*;*;*;*;*;*;2017/18
RQM;CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST;733;642;0.8758527;334;0.5202492;634;0.9875389;333;0.5252366;301;294;0.9767442;162;0.5510204;292;0.9931973;155;0.5308219;287;*;*;*;*;*;*;*;*;14;*;*;*;*;*;*;*;*;432;348;0.8055556;172;0.4942529;342;0.9827586;178;0.5204678;411;*;*;*;*;*;*;*;*;21;*;*;*;*;*;*;*;*;2018/19
RFS;CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST;667;683;1.023.988;592;0.8667643;682;0.9985359;480;0.7038123;265;279;10.528.302;250;0.8960573;278;0.9964158;194;0.6978417;233;226;0.9699571;226;1;225;0.9955752;171;0.76;32;24;0.75;24;1;24;1;16;0.6666667;402;404;10.049.751;342;0.8465347;404;1;286;0.7079208;379;329;0.8680739;329;1;329;1;251;0.7629179;23;13;0.5652174;13;1;13;1;8;0.6153846;2016/17
RFS;CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST;672;591;0.8794643;527;0.891709;588;0.9949239;418;0.7108844;299;252;0.8428094;228;0.9047619;251;0.9960317;185;0.7370518;272;211;0.7757353;211;1;210;0.9952607;159;0.7571429;27;17;0.6296296;17;1;17;1;10;0.5882353;373;339;0.9088472;299;0.8820059;337;0.9941003;233;0.6913947;352;286;0.8125;286;1;285;0.9965035;213;0.7473684;21;13;0.6190476;13;1;13;1;8;0.6153846;2017/18
RFS;CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST;617;526;0.8525122;473;0.8992395;517;0.9828897;389;0.7524178;284;232;0.8169014;218;0.9396552;227;0.9784483;174;0.7665198;262;207;0.7900763;207;1;203;0.9806763;164;0.8078818;22;11;0.5;11;1;11;1;6;0.5454545;333;294;0.8828829;255;0.8673469;290;0.9863946;215;0.7413793;310;247;0.7967742;247;1;244;0.9878543;188;0.7704918;23;8;0.3478261;8;1;8;1;5;0.625;2018/19
NV313;CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE;435;411;0.9448276;390;0.9489051;406;0.9878345;347;0.8546798;186;175;0.9408602;167;0.9542857;172;0.9828571;145;0.8430233;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;249;236;0.9477912;223;0.9449153;234;0.9915254;202;0.8632479;249;223;0.8955823;223;1;222;0.9955157;193;0.8693694;0;0;0;0;0;0;0;0;0;2016/17
NV313;CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE;582;650;11.168.385;561;0.8630769;645;0.9923077;459;0.7116279;238;277;11.638.655;236;0.8519856;274;0.9891697;185;0.6751825;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;344;373;10.843.023;325;0.8713137;371;0.9946381;274;0.7385445;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NV313;CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE;662;830;12.537.764;618;0.7445783;823;0.9915663;494;0.600243;280;358;12.785.714;259;0.7234637;356;0.9944134;221;0.6207865;280;*;*;*;*;*;*;189;*;0;*;*;*;*;*;*;0;*;382;472;12.356.021;359;0.7605932;467;0.9894068;273;0.5845824;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2018/19
NV302;CIRCLE BATH HOSPITAL;625;739;11.824;544;0.7361299;736;0.9959405;604;0.8206522;336;324;0.9642857;284;0.8765432;322;0.9938272;263;0.8167702;330;*;*;*;*;*;*;*;*;6;*;*;*;*;*;*;*;*;289;415;14.359.862;260;0.626506;414;0.9975904;341;0.8236715;283;*;*;*;*;*;*;*;*;6;*;*;*;*;*;*;*;*;2016/17
NV302;CIRCLE BATH HOSPITAL;734;782;10.653.951;646;0.826087;774;0.9897698;572;0.7390181;365;365;1;313;0.8575342;360;0.9863014;273;0.7583333;359;*;*;*;*;*;*;*;*;6;*;*;*;*;*;*;*;*;369;417;11.300.813;333;0.7985612;414;0.9928058;299;0.7222222;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;2017/18
NV302;CIRCLE BATH HOSPITAL;781;667;0.8540333;573;0.8590705;664;0.9955022;509;0.7665663;375;322;0.8586667;289;0.8975155;322;1;251;0.7795031;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;406;345;0.8497537;284;0.8231884;342;0.9913043;258;0.754386;395;276;0.6987342;276;1;276;1;227;0.8224638;11;8;0.7272727;8;1;8;1;2;0.25;2018/19
NV323;CIRCLE READING HOSPITAL;280;316;11.285.714;199;0.6297468;315;0.9968354;255;0.8095238;166;136;0.8192771;117;0.8602941;136;1;117;0.8602941;*;117;*;117;1;117;1;105;0.8974359;*;0;*;0;0;0;0;0;0;114;180;15.789.474;82;0.4555556;179;0.9944444;138;0.7709497;*;82;0.7256637;*;1;82;1;71;0.8658537;*;0;*;0;0;0;0;0;0;2016/17
NV323;CIRCLE READING HOSPITAL;262;267;1.019.084;216;0.8089888;267;1.0;209;0.7827715;146;142;0.9726027;127;0.8943662;142;1;114;0.8028169;146;127;0.869863;127;1;127;1;106;0.8346457;0;0;0;0;0;0;0;0;0;116;125;10.775.862;89;0.712;125;1;95;0.76;116;89;0.7672414;89;1;89;1;73;0.8202247;0;0;0;0;0;0;0;0;0;2017/18
NV323;CIRCLE READING HOSPITAL;235;251;10.680.851;169;0.6733068;251;1.0;199;0.7928287;125;130;1.04;89;0.6846154;130;1;101;0.7769231;125;89;0.712;89;1;89;1;70;0.7865169;0;0;0;0;0;0;0;0;0;110;121;1.1;80;0.661157;121;1;98;0.8099174;110;80;0.7272727;80;1;80;1;66;0.825;0;0;0;0;0;0;0;0;0;2018/19
RLN;CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST;894;836;0.935123;606;0.7248804;832;0.9952153;556;0.6682692;351;342;0.974359;246;0.7192982;340;0.994152;222;0.6529412;319;230;0.7210031;230;1;229;0.9956522;162;0.7074236;32;16;0.5;16;1;16;1;9;0.5625;543;494;0.9097606;360;0.7287449;492;0.9959514;334;0.6788618;513;346;0.6744639;346;1;346;1;266;0.7687861;30;14;0.4666667;14;1;14;1;8;0.5714286;2016/17
RLN;CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST;944;840;0.8898305;568;0.6761905;835;0.9940476;526;0.6299401;396;348;0.8787879;242;0.6954023;343;0.9856322;214;0.6239067;366;225;0.6147541;225;1;224;0.9955556;156;0.6964286;30;17;0.5666667;17;1;16;0.9411765;10;0.625;548;492;0.8978102;326;0.6626016;492;1;312;0.6341463;523;313;0.5984704;313;1;313;1;238;0.7603834;25;13;0.52;13;1;13;1;7;0.5384615;2017/18
