Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
NT455,BMI MOUNT ALVERNIA HOSPITAL,20,45,2.25,14,0.3111111,45,1,31,0.6888889,10,16,1.6,7,0.4375,16,1,12,0.75,10,7,0.7,7,1,7,1,7,1,0,0,0,0,0,0,0,0,0,10,29,2.9,7,0.2413793,29,1,19,0.6551724,10,7,0.7,7,1,7,1,6,0.8571429,0,0,0,0,0,0,0,0,0
NT446,BMI ST EDMUNDS HOSPITAL,215,202,0.9395349,171,0.8465347,201,0.9950495,182,0.9054726,124,97,0.7822581,94,0.9690722,97,1,89,0.9175258,124,94,0.7580645,94,1,94,1,86,0.9148936,0,0,0,0,0,0,0,0,0,91,105,1.1538462,77,0.7333333,104,0.9904762,93,0.8942308,91,77,0.8461538,77,1,77,1,70,0.9090909,0,0,0,0,0,0,0,0,0
NT451,BMI THE CAVELL HOSPITAL,191,148,0.7748691,99,0.6689189,148,1,122,0.8243243,74,56,0.7567568,40,0.7142857,56,1,47,0.8392857,74,40,0.5405405,40,1,40,1,34,0.85,0,0,0,0,0,0,0,0,0,117,92,0.7863248,59,0.6413043,92,1,75,0.8152174,*,59,0.5130435,*,1,59,1,51,0.8644068,*,0,*,0,0,0,0,0,0
NT447,BMI THE DUCHY HOSPITAL,184,188,1.0217391,161,0.856383,187,0.9946809,159,0.8502674,101,99,0.980198,91,0.9191919,99,1,80,0.8080808,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,83,89,1.0722892,70,0.7865169,88,0.988764,79,0.8977273,83,70,0.8433735,70,1,70,1,65,0.9285714,0,0,0,0,0,0,0,0,0
NT445,BMI THE EDGBASTON HOSPITAL,162,170,1.0493827,141,0.8294118,168,0.9882353,114,0.6785714,78,76,0.974359,66,0.8684211,75,0.9868421,60,0.8,78,66,0.8461538,66,1,66,1,54,0.8181818,0,0,0,0,0,0,0,0,0,84,94,1.1190476,75,0.7978723,93,0.9893617,54,0.5806452,84,75,0.8928571,75,1,74,0.9866667,46,0.6216216,0,0,0,0,0,0,0,0,0
NT448,BMI THE HUDDERSFIELD HOSPITAL,417,312,0.7482014,252,0.8076923,312,1,241,0.7724359,139,121,0.8705036,108,0.892562,121,1,103,0.8512397,139,108,0.7769784,108,1,108,1,95,0.8796296,0,0,0,0,0,0,0,0,0,278,191,0.6870504,144,0.7539267,191,1,138,0.7225131,272,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
NT449,BMI THE LANCASTER HOSPITAL,170,249,1.4647059,140,0.562249,247,0.9919679,197,0.7975709,61,94,1.5409836,46,0.4893617,92,0.9787234,72,0.7826087,*,46,*,46,1,46,1,38,0.826087,*,0,*,0,0,0,0,0,0,109,155,1.4220183,94,0.6064516,155,1,125,0.8064516,109,94,0.8623853,94,1,94,1,76,0.8085106,0,0,0,0,0,0,0,0,0
NT450,BMI THE LINCOLN HOSPITAL,316,345,1.0917722,284,0.8231884,343,0.9942029,289,0.8425656,140,142,1.0142857,125,0.8802817,142,1,124,0.8732394,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,176,203,1.1534091,159,0.7832512,201,0.9901478,165,0.8208955,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT457,BMI WOODLANDS HOSPITAL,649,685,1.05547,582,0.849635,684,0.9985401,556,0.8128655,265,293,1.1056604,250,0.8532423,293,1,233,0.7952218,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,384,392,1.0208333,332,0.8469388,391,0.997449,323,0.826087,372,320,0.8602151,320,1,319,0.996875,279,0.8746082,12,12,1,12,1,12,1,6,0.5
RMC,BOLTON NHS FOUNDATION TRUST,392,348,0.8877551,288,0.8275862,346,0.9942529,256,0.7398844,173,162,0.9364162,137,0.845679,160,0.9876543,121,0.75625,162,131,0.808642,131,1,131,1,104,0.7938931,11,6,0.5454545,6,1,6,1,5,0.8333333,219,186,0.8493151,151,0.811828,186,1,135,0.7258065,206,143,0.6941748,143,1,143,1,111,0.7762238,13,8,0.6153846,8,1,8,1,6,0.75
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,492,375,0.7621951,276,0.736,338,0.9013333,216,0.6390533,181,126,0.6961326,103,0.8174603,116,0.9206349,74,0.637931,165,*,*,*,*,*,*,*,*,16,*,*,*,*,*,*,*,*,311,249,0.8006431,173,0.6947791,222,0.8915663,142,0.6396396,285,161,0.5649123,161,1,151,0.9378882,108,0.7152318,26,12,0.4615385,12,1,11,0.9166667,6,0.5454545
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,927,816,0.8802589,616,0.754902,815,0.9987745,539,0.6613497,435,367,0.8436782,280,0.7629428,367,1,238,0.6485014,336,229,0.6815476,229,1,229,1,167,0.7292576,99,51,0.5151515,51,1,51,1,41,0.8039216,492,449,0.9126016,336,0.7483296,448,0.9977728,301,0.671875,440,302,0.6863636,302,1,301,0.9966887,235,0.7807309,52,34,0.6538462,34,1,34,1,21,0.6176471
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,625,546,0.8736,247,0.452381,543,0.9945055,342,0.6298343,328,280,0.8536585,149,0.5321429,278,0.9928571,199,0.7158273,293,142,0.4846416,142,1,142,1,124,0.8732394,35,7,0.2,7,1,7,1,6,0.8571429,297,266,0.8956229,98,0.3684211,265,0.9962406,143,0.5396226,266,*,*,*,*,*,*,*,*,31,*,*,*,*,*,*,*,*
RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,651,679,1.0430108,469,0.6907216,678,0.9985272,537,0.7920354,311,302,0.9710611,230,0.7615894,301,0.9966887,255,0.8471761,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,340,377,1.1088235,239,0.6339523,377,1,282,0.7480106,*,239,0.7091988,*,1,239,1,204,0.8535565,*,0,*,0,0,0,0,0,0
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,1042,940,0.9021113,886,0.9425532,937,0.9968085,772,0.8239061,539,479,0.8886827,469,0.9791232,479,1,408,0.8517745,510,445,0.872549,445,1,445,1,378,0.8494382,29,24,0.8275862,24,1,24,1,23,0.9583333,503,461,0.916501,417,0.9045553,458,0.9934924,364,0.7947598,481,404,0.8399168,404,1,402,0.9950495,322,0.800995,22,13,0.5909091,13,1,13,1,9,0.6923077
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,989,963,0.9737108,753,0.7819315,960,0.9968847,692,0.7208333,530,478,0.9018868,382,0.7991632,476,0.9958159,344,0.7226891,497,366,0.7364185,366,1,365,0.9972678,281,0.769863,33,16,0.4848485,16,1,16,1,13,0.8125,459,485,1.0566449,371,0.7649485,484,0.9979381,348,0.7190083,425,356,0.8376471,356,1,356,1,285,0.8005618,34,15,0.4411765,15,1,15,1,8,0.5333333
RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,643,349,0.5427683,165,0.4727794,349,1,240,0.6876791,287,173,0.6027875,73,0.4219653,173,1,118,0.6820809,267,*,*,*,*,*,*,*,*,20,*,*,*,*,*,*,*,*,356,176,0.494382,92,0.5227273,176,1,122,0.6931818,343,*,*,*,*,*,*,*,*,13,*,*,*,*,*,*,*,*
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,686,211,0.3075802,93,0.4407583,206,0.9763033,100,0.4854369,328,96,0.2926829,59,0.6145833,96,1,49,0.5104167,312,*,*,*,*,*,*,33,*,16,*,*,*,*,*,*,0,*,358,115,0.3212291,34,0.2956522,110,0.9565217,51,0.4636364,341,34,0.0997067,34,1,33,0.9705882,17,0.5151515,17,0,0,0,0,0,0,0,0
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,667,683,1.023988,592,0.8667643,682,0.9985359,480,0.7038123,265,279,1.0528302,250,0.8960573,278,0.9964158,194,0.6978417,233,226,0.9699571,226,1,225,0.9955752,171,0.76,32,24,0.75,24,1,24,1,16,0.6666667,402,404,1.0049751,342,0.8465347,404,1,286,0.7079208,379,329,0.8680739,329,1,329,1,251,0.7629179,23,13,0.5652174,13,1,13,1,8,0.6153846
NV313,CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE,435,411,0.9448276,390,0.9489051,406,0.9878345,347,0.8546798,186,175,0.9408602,167,0.9542857,172,0.9828571,145,0.8430233,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,249,236,0.9477912,223,0.9449153,234,0.9915254,202,0.8632479,249,223,0.8955823,223,1,222,0.9955157,193,0.8693694,0,0,0,0,0,0,0,0,0
NV302,CIRCLE BATH HOSPITAL,625,739,1.1824,544,0.7361299,736,0.9959405,604,0.8206522,336,324,0.9642857,284,0.8765432,322,0.9938272,263,0.8167702,330,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*,289,415,1.4359862,260,0.626506,414,0.9975904,341,0.8236715,283,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
NV323,CIRCLE READING HOSPITAL,280,316,1.1285714,199,0.6297468,315,0.9968354,255,0.8095238,166,136,0.8192771,117,0.8602941,136,1,117,0.8602941,*,117,*,117,1,117,1,105,0.8974359,*,0,*,0,0,0,0,0,0,114,180,1.5789474,82,0.4555556,179,0.9944444,138,0.7709497,*,82,0.7256637,*,1,82,1,71,0.8658537,*,0,*,0,0,0,0,0,0
RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,894,836,0.935123,606,0.7248804,832,0.9952153,556,0.6682692,351,342,0.974359,246,0.7192982,340,0.994152,222,0.6529412,319,230,0.7210031,230,1,229,0.9956522,162,0.7074236,32,16,0.5,16,1,16,1,9,0.5625,543,494,0.9097606,360,0.7287449,492,0.9959514,334,0.6788618,513,346,0.6744639,346,1,346,1,266,0.7687861,30,14,0.4666667,14,1,14,1,8,0.5714286
NVC28,CLIFTON PARK HOSPITAL,686,705,1.0276968,575,0.8156028,705,1,574,0.8141844,321,283,0.8816199,266,0.9399293,283,1,237,0.8374558,304,251,0.8256579,251,1,251,1,210,0.8366534,17,15,0.8823529,15,1,15,1,12,0.8,365,422,1.1561644,309,0.7322275,422,1,337,0.7985782,350,298,0.8514286,298,1,298,1,240,0.8053691,15,11,0.7333333,11,1,11,1,9,0.8181818
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,317,301,0.9495268,267,0.8870432,286,0.9501661,220,0.7692308,164,159,0.9695122,139,0.8742138,150,0.9433962,111,0.74,*,*,*,*,*,*,*,104,*,*,*,*,*,*,*,*,0,*,153,142,0.9281046,128,0.9014085,136,0.9577465,109,0.8014706,143,119,0.8321678,119,1,116,0.9747899,93,0.8017241,10,9,0.9,9,1,9,1,8,0.8888889
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1304,1032,0.791411,793,0.7684109,1031,0.999031,717,0.6954413,582,437,0.7508591,349,0.798627,437,1,310,0.7093822,537,316,0.5884544,316,1,316,1,254,0.8037975,45,33,0.7333333,33,1,33,1,23,0.6969697,722,595,0.8240997,444,0.7462185,594,0.9983193,407,0.6851852,704,431,0.6122159,431,1,431,1,345,0.800464,18,13,0.7222222,13,1,13,1,6,0.4615385
RN7,DARTFORD AND GRAVESHAM NHS TRUST,1008,966,0.9583333,520,0.5383023,858,0.8881988,594,0.6923077,372,333,0.8951613,184,0.5525526,309,0.9279279,210,0.6796117,347,*,*,*,*,*,*,*,*,25,*,*,*,*,*,*,*,*,636,633,0.995283,336,0.5308057,549,0.8672986,384,0.6994536,616,*,*,*,*,*,*,*,*,20,*,*,*,*,*,*,*,*
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1275,624,0.4894118,527,0.8445513,622,0.9967949,438,0.7041801,604,259,0.4288079,228,0.8803089,259,1,181,0.6988417,549,197,0.3588342,197,1,197,1,149,0.7563452,55,31,0.5636364,31,1,31,1,22,0.7096774,671,365,0.5439642,299,0.8191781,363,0.9945205,257,0.707989,647,282,0.4358578,282,1,281,0.9964539,218,0.7758007,24,17,0.7083333,17,1,17,1,14,0.8235294
NNE02,DORKING GENERAL HOSPITAL,140,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,668,623,0.9326347,558,0.8956661,592,0.9502408,497,0.839527,345,305,0.884058,280,0.9180328,294,0.9639344,252,0.8571429,318,265,0.8333333,265,1,262,0.9886792,230,0.8778626,27,15,0.5555556,15,1,15,1,14,0.9333333,323,318,0.9845201,278,0.8742138,298,0.9371069,245,0.8221477,299,259,0.8662207,259,1,257,0.992278,220,0.8560311,24,19,0.7916667,19,1,19,1,15,0.7894737
NVC04,DUCHY HOSPITAL,869,980,1.127733,783,0.7989796,973,0.9928571,835,0.8581706,527,511,0.9696395,478,0.9354207,507,0.9921722,439,0.8658777,498,460,0.9236948,460,1,459,0.9978261,406,0.8845316,29,18,0.6206897,18,1,18,1,16,0.8888889,342,469,1.371345,305,0.6503198,466,0.9936034,396,0.8497854,331,298,0.9003021,298,1,298,1,262,0.8791946,11,7,0.6363636,7,1,7,1,6,0.8571429
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,667,598,0.8965517,399,0.6672241,593,0.9916388,397,0.6694772,386,311,0.8056995,230,0.7395498,308,0.9903537,210,0.6818182,321,203,0.6323988,203,1,203,1,146,0.7192118,65,27,0.4153846,27,1,27,1,24,0.8888889,281,287,1.0213523,169,0.5888502,285,0.9930314,187,0.6561404,254,157,0.6181102,157,1,157,1,128,0.8152866,27,12,0.4444444,12,1,12,1,8,0.6666667
RJN,EAST CHESHIRE NHS TRUST,464,364,0.7844828,146,0.4010989,364,1,285,0.782967,210,157,0.747619,69,0.4394904,157,1,129,0.8216561,202,69,0.3415842,69,1,69,1,59,0.8550725,8,0,0,0,0,0,0,0,0,254,207,0.8149606,77,0.3719807,207,1,156,0.7536232,246,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1749,1386,0.7924528,1143,0.8246753,1382,0.997114,1034,0.748191,807,616,0.7633209,543,0.8814935,613,0.9951299,451,0.7357259,727,477,0.656121,477,1,477,1,369,0.7735849,80,66,0.825,66,1,65,0.9848485,50,0.7692308,942,770,0.8174098,600,0.7792208,769,0.9987013,583,0.7581274,892,567,0.6356502,567,1,566,0.9982363,466,0.8233216,50,33,0.66,33,1,33,1,23,0.6969697
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,756,786,1.0396825,413,0.5254453,781,0.9936387,518,0.6632522,314,296,0.9426752,166,0.5608108,294,0.9932432,208,0.707483,306,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,442,490,1.1085973,247,0.5040816,487,0.9938776,310,0.6365503,434,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,989,261,0.2639029,215,0.8237548,258,0.9885057,189,0.7325581,461,110,0.2386117,93,0.8454545,110,1,79,0.7181818,416,*,*,*,*,*,*,*,*,45,*,*,*,*,*,*,*,*,528,151,0.2859848,122,0.807947,148,0.9801325,110,0.7432432,508,*,*,*,*,*,*,*,*,20,*,*,*,*,*,*,*,*
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,548,749,1.3667883,286,0.3818425,746,0.9959947,541,0.7252011,216,317,1.4675926,121,0.3817035,315,0.9936909,225,0.7142857,197,115,0.5837563,115,1,115,1,79,0.6869565,19,6,0.3157895,6,1,6,1,6,1,332,432,1.3012048,165,0.3819444,431,0.9976852,316,0.7331787,315,156,0.4952381,156,1,156,1,118,0.7564103,17,9,0.5294118,9,1,9,1,8,0.8888889
NTPH2,EMERSONS GREEN NHS TREATMENT CENTRE,786,1473,1.8740458,771,0.5234216,1472,0.9993211,1259,0.8552989,381,635,1.6666667,371,0.584252,634,0.9984252,556,0.8769716,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,405,838,2.0691358,400,0.477327,838,1,703,0.8389021,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,3050,3444,1.1291803,2796,0.8118467,3251,0.9439605,2472,0.7603814,1537,1609,1.0468445,1399,0.8694842,1555,0.9664388,1185,0.7620579,1424,1317,0.9248596,1317,1,1298,0.9855733,1021,0.7865948,113,82,0.7256637,82,1,77,0.9390244,60,0.7792208,1513,1835,1.2128222,1397,0.7613079,1696,0.9242507,1287,0.7588443,1453,1343,0.9242946,1343,1,1300,0.9679821,1035,0.7961538,60,54,0.9,54,1,51,0.9444444,35,0.6862745
NVC05,EUXTON HALL HOSPITAL,367,378,1.0299728,316,0.8359788,378,1,292,0.7724868,182,180,0.989011,158,0.8777778,180,1,143,0.7944444,182,158,0.8681319,158,1,158,1,128,0.8101266,0,0,0,0,0,0,0,0,0,185,198,1.0702703,158,0.7979798,198,1,149,0.7525253,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NVG01,FAIRFIELD HOSPITAL,253,283,1.1185771,248,0.8763251,282,0.9964664,217,0.7695035,101,116,1.1485149,103,0.887931,115,0.9913793,92,0.8,*,103,*,103,1,103,1,84,0.815534,*,0,*,0,0,0,0,0,0,152,167,1.0986842,145,0.8682635,167,1,125,0.748503,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NVC06,FITZWILLIAM HOSPITAL,664,762,1.1475904,672,0.8818898,762,1,631,0.828084,286,320,1.1188811,295,0.921875,320,1,268,0.8375,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,378,442,1.1693122,377,0.8529412,442,1,363,0.821267,367,369,1.0054496,369,1,369,1,312,0.8455285,11,8,0.7272727,8,1,8,1,8,1
AHH,FOSCOTE COURT (BANBURY) TRUST LTD,79,58,0.7341772,54,0.9310345,58,1,49,0.8448276,33,28,0.8484848,26,0.9285714,28,1,23,0.8214286,33,26,0.7878788,26,1,26,1,23,0.8846154,0,0,0,0,0,0,0,0,0,46,30,0.6521739,28,0.9333333,30,1,26,0.8666667,46,28,0.6086957,28,1,28,1,25,0.8928571,0,0,0,0,0,0,0,0,0
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1809,1760,0.9729132,1417,0.8051136,1753,0.9960227,1302,0.7427268,810,730,0.9012346,639,0.8753425,729,0.9986301,552,0.7572016,757,609,0.8044914,609,1,609,1,486,0.7980296,53,30,0.5660377,30,1,30,1,23,0.7666667,999,1030,1.031031,778,0.7553398,1024,0.9941748,750,0.7324219,931,732,0.7862513,732,1,731,0.9986339,573,0.7838577,68,46,0.6764706,46,1,46,1,38,0.826087
NVC07,FULWOOD HALL HOSPITAL,727,565,0.7771664,522,0.9238938,563,0.9964602,457,0.8117229,298,241,0.8087248,224,0.9294606,239,0.9917012,198,0.8284519,298,224,0.7516779,224,1,223,0.9955357,184,0.8251121,0,0,0,0,0,0,0,0,0,429,324,0.7552448,298,0.9197531,324,1,259,0.7993827,422,*,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,874,635,0.7265446,539,0.8488189,635,1,520,0.8188976,413,268,0.6489104,259,0.9664179,268,1,218,0.8134328,375,249,0.664,249,1,249,1,203,0.815261,38,10,0.2631579,10,1,10,1,10,1,461,367,0.7960954,280,0.7629428,367,1,302,0.8228883,431,272,0.6310905,272,1,272,1,224,0.8235294,30,8,0.2666667,8,1,8,1,5,0.625
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,611,519,0.8494272,412,0.7938343,515,0.9922929,386,0.7495146,212,173,0.8160377,135,0.7803468,171,0.9884393,121,0.7076023,204,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,399,346,0.8671679,277,0.800578,344,0.9942197,265,0.7703488,386,268,0.6943005,268,1,268,1,221,0.8246269,13,9,0.6923077,9,1,9,1,5,0.5555556
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1466,651,0.4440655,541,0.8310292,647,0.9938556,520,0.8037094,765,287,0.3751634,260,0.9059233,284,0.989547,224,0.7887324,711,244,0.3431786,244,1,244,1,198,0.8114754,54,16,0.2962963,16,1,16,1,11,0.6875,701,364,0.5192582,281,0.771978,363,0.9972527,296,0.815427,660,262,0.3969697,262,1,262,1,220,0.8396947,41,19,0.4634146,19,1,19,1,16,0.8421053
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,918,908,0.9891068,686,0.7555066,904,0.9955947,686,0.7588496,448,422,0.9419643,369,0.8744076,418,0.9905213,324,0.7751196,402,339,0.8432836,339,1,339,1,279,0.8230088,46,30,0.6521739,30,1,30,1,27,0.9,470,486,1.0340426,317,0.6522634,486,1,362,0.744856,430,298,0.6930233,298,1,298,1,255,0.8557047,40,19,0.475,19,1,19,1,13,0.6842105
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,681,616,0.9045521,444,0.7207792,576,0.9350649,387,0.671875,335,277,0.8268657,197,0.7111913,263,0.9494585,163,0.6197719,302,185,0.6125828,185,1,181,0.9783784,121,0.6685083,33,12,0.3636364,12,1,12,1,7,0.5833333,346,339,0.9797688,247,0.7286136,313,0.9233038,224,0.715655,287,221,0.7700348,221,1,208,0.9411765,153,0.7355769,59,26,0.440678,26,1,23,0.8846154,17,0.7391304
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1060,1061,1.0009434,818,0.7709708,1056,0.9952875,840,0.7954545,538,476,0.8847584,413,0.8676471,473,0.9936975,382,0.807611,480,372,0.775,372,1,371,0.9973118,309,0.8328841,58,41,0.7068966,41,1,41,1,36,0.8780488,522,585,1.1206897,405,0.6923077,583,0.9965812,458,0.7855918,466,364,0.7811159,364,1,363,0.9972527,291,0.8016529,56,41,0.7321429,41,1,41,1,34,0.8292683
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,645,774,1.2,546,0.7054264,774,1,627,0.8100775,316,334,1.056962,283,0.8473054,334,1,272,0.8143713,298,271,0.909396,271,1,271,1,222,0.8191882,18,12,0.6666667,12,1,12,1,8,0.6666667,329,440,1.337386,263,0.5977273,440,1,355,0.8068182,295,238,0.8067797,238,1,238,1,206,0.8655462,34,25,0.7352941,25,1,25,1,22,0.88
RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,1704,1673,0.9818075,1109,0.6628811,1667,0.9964136,1058,0.6346731,699,702,1.0042918,505,0.7193732,699,0.9957265,469,0.6709585,637,488,0.7660911,488,1,486,0.9959016,376,0.7736626,62,17,0.2741935,17,1,17,1,8,0.4705882,1005,971,0.9661692,604,0.6220391,968,0.9969104,589,0.6084711,934,592,0.633833,592,1,591,0.9983108,443,0.749577,71,12,0.1690141,12,1,12,1,6,0.5
RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,809,840,1.0383189,476,0.5666667,839,0.9988095,633,0.7544696,419,411,0.9809069,242,0.5888078,410,0.9975669,304,0.7414634,391,228,0.5831202,228,1,227,0.995614,182,0.8017621,28,14,0.5,14,1,14,1,13,0.9285714,390,429,1.1,234,0.5454545,429,1,329,0.7668998,367,225,0.613079,225,1,225,1,198,0.88,23,9,0.3913043,9,1,9,1,8,0.8888889
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,175,206,1.1771429,159,0.7718447,206,1,123,0.5970874,86,92,1.0697674,74,0.8043478,92,1,59,0.6413043,*,74,*,74,1,74,1,51,0.6891892,*,0,*,0,0,0,0,0,0,89,114,1.2808989,85,0.745614,114,1,64,0.5614035,89,85,0.9550562,85,1,85,1,55,0.6470588,0,0,0,0,0,0,0,0,0
NVC25,HORTON NHS TREATMENT CENTRE,894,794,0.8881432,676,0.8513854,792,0.9974811,668,0.8434343,463,371,0.8012959,342,0.9218329,369,0.9946092,316,0.8563686,*,342,*,342,1,341,0.997076,293,0.8592375,*,0,*,0,0,0,0,0,0,431,423,0.9814385,334,0.7895981,423,1,352,0.8321513,413,322,0.779661,322,1,322,1,276,0.8571429,18,12,0.6666667,12,1,12,1,10,0.8333333
RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1053,1053,1,875,0.8309592,1050,0.997151,751,0.7152381,473,455,0.961945,394,0.8659341,452,0.9934066,325,0.7190265,415,355,0.8554217,355,1,354,0.9971831,271,0.7655367,58,39,0.6724138,39,1,39,1,29,0.7435897,580,598,1.0310345,481,0.8043478,598,1,426,0.7123746,528,444,0.8409091,444,1,444,1,359,0.8085586,52,37,0.7115385,37,1,37,1,28,0.7567568
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,442,519,1.1742081,240,0.4624277,480,0.9248555,283,0.5895833,195,201,1.0307692,98,0.4875622,183,0.9104478,105,0.5737705,177,90,0.5084746,90,1,90,1,57,0.6333333,18,8,0.4444444,8,1,8,1,4,0.5,247,318,1.2874494,142,0.4465409,297,0.9339623,178,0.5993266,224,129,0.5758929,129,1,127,0.9844961,84,0.6614173,23,13,0.5652174,13,1,13,1,12,0.9230769
