Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
NT451,BMI THE CAVELL HOSPITAL,249,107,0.4297189,89,0.8317757,107,1,80,0.7476636,108,49,0.4537037,42,0.8571429,49,1,35,0.7142857,*,42,*,42,1,42,1,32,0.7619048,*,0,*,0,0,0,0,0,0,141,58,0.4113475,47,0.8103448,58,1,45,0.7758621,*,47,0.3357143,*,1,47,1,40,0.8510638,*,0,*,0,0,0,0,0,0
NT447,BMI THE DUCHY HOSPITAL,145,110,0.7586207,98,0.8909091,109,0.9909091,88,0.8073394,68,59,0.8676471,53,0.8983051,58,0.9830508,44,0.7586207,68,53,0.7794118,53,1,52,0.9811321,41,0.7884615,0,0,0,0,0,0,0,0,0,77,51,0.6623377,45,0.8823529,51,1,44,0.8627451,77,45,0.5844156,45,1,45,1,40,0.8888889,0,0,0,0,0,0,0,0,0
NT445,BMI THE EDGBASTON HOSPITAL,137,146,1.0656934,115,0.7876712,145,0.9931507,89,0.6137931,48,52,1.0833333,42,0.8076923,52,1,30,0.5769231,*,42,*,42,1,42,1,24,0.5714286,*,0,*,0,0,0,0,0,0,89,94,1.0561798,73,0.7765957,93,0.9893617,59,0.6344086,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT448,BMI THE HUDDERSFIELD HOSPITAL,400,239,0.5975,202,0.8451883,236,0.9874477,185,0.7838983,101,57,0.5643564,49,0.8596491,57,1,44,0.7719298,101,49,0.4851485,49,1,49,1,39,0.7959184,0,0,0,0,0,0,0,0,0,299,182,0.6086957,153,0.8406593,179,0.9835165,141,0.7877095,288,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*
NT449,BMI THE LANCASTER HOSPITAL,149,149,1,128,0.8590604,148,0.9932886,108,0.7297297,61,56,0.9180328,48,0.8571429,55,0.9821429,40,0.7272727,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,88,93,1.0568182,80,0.8602151,93,1,68,0.7311828,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT450,BMI THE LINCOLN HOSPITAL,372,235,0.6317204,223,0.9489362,233,0.9914894,204,0.8755365,170,96,0.5647059,91,0.9479167,95,0.9895833,86,0.9052632,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,202,139,0.6881188,132,0.9496403,138,0.9928058,118,0.8550725,193,*,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*
NT457,BMI WOODLANDS HOSPITAL,578,231,0.399654,214,0.9264069,231,1,174,0.7532468,271,104,0.3837638,96,0.9230769,104,1,76,0.7307692,265,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*,307,127,0.4136808,118,0.9291339,127,1,98,0.7716535,299,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*
RMC,BOLTON NHS FOUNDATION TRUST,425,351,0.8258824,294,0.8376068,349,0.994302,232,0.6647564,171,153,0.8947368,120,0.7843137,152,0.9934641,92,0.6052632,165,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*,254,198,0.7795276,174,0.8787879,197,0.9949495,140,0.7106599,240,167,0.6958333,167,1,166,0.994012,125,0.753012,14,7,0.5,7,1,7,1,5,0.7142857
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,585,435,0.7435897,301,0.691954,398,0.9149425,226,0.5678392,192,151,0.7864583,105,0.6953642,138,0.9139073,80,0.5797101,175,97,0.5542857,97,1,92,0.9484536,64,0.6956522,17,8,0.4705882,8,1,8,1,4,0.5,393,284,0.7226463,196,0.6901408,260,0.915493,146,0.5615385,369,185,0.501355,185,1,176,0.9513514,115,0.6534091,24,11,0.4583333,11,1,11,1,4,0.3636364
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,752,726,0.9654255,556,0.7658402,653,0.899449,442,0.676876,354,335,0.9463277,260,0.7761194,306,0.9134328,194,0.6339869,287,222,0.7735192,222,1,219,0.9864865,155,0.7077626,67,38,0.5671642,38,1,38,1,28,0.7368421,398,391,0.9824121,296,0.7570332,347,0.887468,248,0.7146974,347,261,0.7521614,261,1,260,0.9961686,197,0.7576923,51,35,0.6862745,35,1,34,0.9714286,26,0.7647059
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,744,795,1.0685484,209,0.2628931,792,0.9962264,350,0.4419192,339,347,1.0235988,97,0.2795389,345,0.9942363,150,0.4347826,309,89,0.2880259,89,1,88,0.988764,58,0.6590909,30,8,0.2666667,8,1,8,1,5,0.625,405,448,1.1061728,112,0.25,447,0.9977679,200,0.4474273,388,106,0.2731959,106,1,105,0.990566,71,0.6761905,17,6,0.3529412,6,1,6,1,4,0.6666667
RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,0,175,0,0,0,175,1,142,0.8114286,0,85,0,0,0,85,1,70,0.8235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,90,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,929,857,0.9224973,820,0.9568261,854,0.9964994,654,0.765808,460,431,0.9369565,418,0.9698376,429,0.9953596,352,0.8205128,426,388,0.9107981,388,1,387,0.9974227,319,0.8242894,34,30,0.8823529,30,1,29,0.9666667,25,0.862069,469,426,0.9083156,402,0.943662,425,0.9976526,302,0.7105882,443,381,0.8600451,381,1,380,0.9973753,282,0.7421053,26,21,0.8076923,21,1,21,1,12,0.5714286
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1104,724,0.6557971,519,0.7168508,714,0.9861878,467,0.6540616,539,340,0.6307978,246,0.7235294,334,0.9823529,217,0.6497006,506,233,0.4604743,233,1,231,0.9914163,166,0.7186147,33,13,0.3939394,13,1,12,0.9230769,8,0.6666667,565,384,0.679646,273,0.7109375,380,0.9895833,250,0.6578947,534,265,0.4962547,265,1,264,0.9962264,192,0.7272727,31,8,0.2580645,8,1,8,1,7,0.875
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,733,642,0.8758527,334,0.5202492,634,0.9875389,333,0.5252366,301,294,0.9767442,162,0.5510204,292,0.9931973,155,0.5308219,287,*,*,*,*,*,*,*,*,14,*,*,*,*,*,*,*,*,432,348,0.8055556,172,0.4942529,342,0.9827586,178,0.5204678,411,*,*,*,*,*,*,*,*,21,*,*,*,*,*,*,*,*
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,617,526,0.8525122,473,0.8992395,517,0.9828897,389,0.7524178,284,232,0.8169014,218,0.9396552,227,0.9784483,174,0.7665198,262,207,0.7900763,207,1,203,0.9806763,164,0.8078818,22,11,0.5,11,1,11,1,6,0.5454545,333,294,0.8828829,255,0.8673469,290,0.9863946,215,0.7413793,310,247,0.7967742,247,1,244,0.9878543,188,0.7704918,23,8,0.3478261,8,1,8,1,5,0.625
NV313,CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE,662,830,1.2537764,618,0.7445783,823,0.9915663,494,0.600243,280,358,1.2785714,259,0.7234637,356,0.9944134,221,0.6207865,280,*,*,*,*,*,*,189,*,0,*,*,*,*,*,*,0,*,382,472,1.2356021,359,0.7605932,467,0.9894068,273,0.5845824,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NV302,CIRCLE BATH HOSPITAL,781,667,0.8540333,573,0.8590705,664,0.9955022,509,0.7665663,375,322,0.8586667,289,0.8975155,322,1,251,0.7795031,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,406,345,0.8497537,284,0.8231884,342,0.9913043,258,0.754386,395,276,0.6987342,276,1,276,1,227,0.8224638,11,8,0.7272727,8,1,8,1,2,0.25
NV323,CIRCLE READING HOSPITAL,235,251,1.0680851,169,0.6733068,251,1,199,0.7928287,125,130,1.04,89,0.6846154,130,1,101,0.7769231,125,89,0.712,89,1,89,1,70,0.7865169,0,0,0,0,0,0,0,0,0,110,121,1.1,80,0.661157,121,1,98,0.8099174,110,80,0.7272727,80,1,80,1,66,0.825,0,0,0,0,0,0,0,0,0
RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,991,737,0.7436932,478,0.6485753,736,0.9986431,468,0.6358696,440,306,0.6954545,216,0.7058824,306,1,204,0.6666667,406,201,0.4950739,201,1,201,1,157,0.7810945,34,15,0.4411765,15,1,15,1,8,0.5333333,551,431,0.7822142,262,0.6078886,430,0.9976798,264,0.6139535,519,248,0.477842,248,1,247,0.9959677,181,0.7327935,32,14,0.4375,14,1,14,1,9,0.6428571
NVC28,CLIFTON PARK HOSPITAL,461,416,0.9023861,392,0.9423077,415,0.9975962,350,0.8433735,210,176,0.8380952,171,0.9715909,176,1,143,0.8125,183,148,0.8087432,148,1,148,1,123,0.8310811,27,23,0.8518519,23,1,23,1,17,0.7391304,251,240,0.9561753,221,0.9208333,239,0.9958333,207,0.8661088,234,206,0.8803419,206,1,206,1,181,0.8786408,17,15,0.8823529,15,1,14,0.9333333,13,0.9285714
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,364,347,0.9532967,298,0.8587896,344,0.9913545,236,0.6860465,184,171,0.9293478,145,0.8479532,169,0.9883041,119,0.704142,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,180,176,0.9777778,153,0.8693182,175,0.9943182,117,0.6685714,172,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1020,1210,1.1862745,894,0.738843,1206,0.9966942,732,0.6069652,476,539,1.1323529,410,0.7606679,535,0.9925788,327,0.611215,440,380,0.8636364,380,1,379,0.9973684,268,0.707124,36,30,0.8333333,30,1,30,1,23,0.7666667,544,671,1.2334559,484,0.7213115,671,1,405,0.6035768,520,467,0.8980769,467,1,467,1,338,0.7237687,24,17,0.7083333,17,1,17,1,12,0.7058824
RN7,DARTFORD AND GRAVESHAM NHS TRUST,933,349,0.3740622,207,0.5931232,210,0.6017192,80,0.3809524,373,155,0.4155496,82,0.5290323,124,0.8,46,0.3709677,346,82,0.2369942,82,1,79,0.9634146,44,0.556962,27,0,0,0,0,0,0,0,0,560,194,0.3464286,125,0.6443299,86,0.443299,34,0.3953488,538,*,*,*,*,*,*,*,*,22,*,*,*,*,*,*,*,*
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1155,559,0.4839827,483,0.8640429,552,0.9874776,384,0.6956522,525,256,0.487619,229,0.8945313,254,0.9921875,180,0.7086614,481,204,0.4241164,204,1,203,0.995098,154,0.7586207,44,25,0.5681818,25,1,25,1,18,0.72,630,303,0.4809524,254,0.8382838,298,0.9834983,204,0.6845638,594,240,0.4040404,240,1,238,0.9916667,177,0.7436975,36,14,0.3888889,14,1,13,0.9285714,9,0.6923077
NNE02,DORKING GENERAL HOSPITAL,119,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,593,523,0.8819562,405,0.7743786,473,0.9043977,377,0.7970402,318,268,0.8427673,214,0.7985075,244,0.9104478,192,0.7868852,290,199,0.6862069,199,1,192,0.9648241,157,0.8177083,28,15,0.5357143,15,1,15,1,12,0.8,275,255,0.9272727,191,0.7490196,229,0.8980392,185,0.8078603,256,184,0.71875,184,1,182,0.9891304,156,0.8571429,19,7,0.3684211,7,1,7,1,6,0.8571429
NVC04,DUCHY HOSPITAL,1107,1090,0.9846432,990,0.9082569,1076,0.987156,819,0.7611524,575,571,0.9930435,526,0.9211909,562,0.9842382,431,0.7669039,553,506,0.915009,506,1,503,0.9940711,406,0.8071571,22,20,0.9090909,20,1,20,1,14,0.7,532,519,0.9755639,464,0.894027,514,0.9903661,388,0.7548638,513,449,0.8752437,449,1,448,0.9977728,358,0.7991071,19,15,0.7894737,15,1,15,1,15,1
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,657,574,0.8736682,452,0.7874564,571,0.9947735,374,0.6549912,339,291,0.8584071,232,0.7972509,289,0.9931271,183,0.633218,291,207,0.7113402,207,1,206,0.9951691,146,0.7087379,48,25,0.5208333,25,1,25,1,17,0.68,318,283,0.8899371,220,0.7773852,282,0.9964664,191,0.677305,286,202,0.7062937,202,1,202,1,149,0.7376238,32,18,0.5625,18,1,18,1,14,0.7777778
RJN,EAST CHESHIRE NHS TRUST,394,296,0.751269,261,0.8817568,294,0.9932432,221,0.7517007,191,148,0.7748691,133,0.8986486,148,1,115,0.777027,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,203,148,0.729064,128,0.8648649,146,0.9864865,106,0.7260274,*,*,*,*,*,*,*,*,0.7716535,*,*,*,*,*,*,*,0,*
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1887,1399,0.7413884,986,0.7047891,1395,0.9971408,899,0.6444444,861,628,0.7293844,452,0.7197452,626,0.9968153,399,0.6373802,791,425,0.5372946,425,1,425,1,311,0.7317647,70,27,0.3857143,27,1,27,1,20,0.7407407,1026,771,0.751462,534,0.692607,769,0.997406,500,0.6501951,946,497,0.52537,497,1,496,0.9979879,366,0.7379032,80,37,0.4625,37,1,37,1,26,0.7027027
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,903,629,0.696567,364,0.5786963,618,0.9825119,351,0.5679612,402,307,0.7636816,183,0.5960912,303,0.9869707,178,0.5874587,392,*,*,*,*,*,*,131,*,10,*,*,*,*,*,*,0,*,501,322,0.6427146,181,0.5621118,315,0.9782609,173,0.5492063,484,*,*,*,*,*,*,*,*,17,*,*,*,*,*,*,*,*
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1952,1104,0.5655738,838,0.759058,1099,0.995471,740,0.6733394,956,547,0.5721757,438,0.8007313,543,0.9926874,364,0.6703499,891,418,0.4691358,418,1,415,0.992823,314,0.7566265,65,20,0.3076923,20,1,19,0.95,12,0.6315789,996,557,0.5592369,400,0.7181329,556,0.9982047,376,0.676259,952,391,0.4107143,391,1,391,1,306,0.7826087,44,9,0.2045455,9,1,9,1,6,0.6666667
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,519,691,1.3314066,287,0.4153401,686,0.9927641,457,0.6661808,194,301,1.5515464,113,0.3754153,300,0.9966777,199,0.6633333,180,105,0.5833333,105,1,105,1,80,0.7619048,14,8,0.5714286,8,1,8,1,6,0.75,325,390,1.2,174,0.4461538,386,0.9897436,258,0.6683938,302,165,0.5463576,165,1,164,0.9939394,135,0.8231707,23,9,0.3913043,9,1,9,1,6,0.6666667
NTPH2,EMERSONS GREEN NHS TREATMENT CENTRE,879,1012,1.1513083,852,0.8418972,1009,0.9970356,825,0.8176412,411,473,1.1508516,400,0.845666,472,0.9978858,390,0.8262712,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,468,539,1.1517094,452,0.83859,537,0.9962894,435,0.8100559,468,452,0.965812,452,1,451,0.9977876,389,0.8625277,0,0,0,0,0,0,0,0,0
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,2984,3229,1.0821046,2739,0.8482502,3020,0.9352741,1893,0.6268212,1477,1590,1.0765064,1368,0.8603774,1529,0.9616352,987,0.6455199,1374,1279,0.9308588,1279,1,1259,0.9843628,847,0.6727562,103,89,0.8640777,89,1,89,1,60,0.6741573,1507,1639,1.0875912,1371,0.8364857,1491,0.909701,906,0.6076459,1439,1309,0.9096595,1309,1,1213,0.9266616,758,0.6248969,68,62,0.9117647,62,1,61,0.983871,33,0.5409836
NVC05,EUXTON HALL HOSPITAL,409,249,0.608802,222,0.8915663,248,0.9959839,199,0.8024194,176,88,0.5,78,0.8863636,88,1,73,0.8295455,*,78,*,78,1,78,1,66,0.8461538,*,0,*,0,0,0,0,0,0,233,161,0.6909871,144,0.8944099,160,0.9937888,126,0.7875,*,144,0.6206897,*,1,144,1,120,0.8333333,*,0,*,0,0,0,0,0,0
NVG01,FAIRFIELD HOSPITAL,307,275,0.8957655,248,0.9018182,274,0.9963636,213,0.7773723,127,106,0.8346457,99,0.9339623,106,1,85,0.8018868,127,99,0.7795276,99,1,99,1,84,0.8484848,0,0,0,0,0,0,0,0,0,180,169,0.9388889,149,0.8816568,168,0.9940828,128,0.7619048,180,149,0.8277778,149,1,148,0.9932886,117,0.7905405,0,0,0,0,0,0,0,0,0
NVC06,FITZWILLIAM HOSPITAL,742,743,1.0013477,681,0.9165545,735,0.9892328,582,0.7918367,346,347,1.0028902,317,0.9135447,344,0.9913545,272,0.7906977,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,396,396,1,364,0.9191919,391,0.9873737,310,0.7928389,388,356,0.9175258,356,1,354,0.994382,295,0.8333333,8,8,1,8,1,8,1,7,0.875
AHH,FOSCOTE COURT (BANBURY) TRUST LTD,48,38,0.7916667,34,0.8947368,38,1,26,0.6842105,22,19,0.8636364,15,0.7894737,19,1,11,0.5789474,22,15,0.6818182,15,1,15,1,11,0.7333333,0,0,0,0,0,0,0,0,0,26,19,0.7307692,19,1,19,1,15,0.7894737,26,19,0.7307692,19,1,19,1,15,0.7894737,0,0,0,0,0,0,0,0,0
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1853,1422,0.7674042,1198,0.8424754,1417,0.9964838,963,0.6796048,860,642,0.7465116,558,0.8691589,638,0.9937695,440,0.6896552,791,517,0.653603,517,1,514,0.9941973,383,0.7451362,69,41,0.5942029,41,1,41,1,32,0.7804878,993,780,0.7854985,640,0.8205128,779,0.9987179,523,0.6713736,916,594,0.6484716,594,1,593,0.9983165,438,0.7386172,77,46,0.5974026,46,1,46,1,34,0.7391304
NVC07,FULWOOD HALL HOSPITAL,616,249,0.4042208,234,0.939759,248,0.9959839,183,0.7379032,295,120,0.4067797,113,0.9416667,120,1,93,0.775,*,113,*,113,1,113,1,90,0.7964602,*,0,*,0,0,0,0,0,0,321,129,0.4018692,121,0.9379845,128,0.9922481,90,0.703125,*,*,*,*,*,*,*,*,0.75,*,*,*,*,*,*,*,0,*
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,759,581,0.7654809,541,0.9311532,567,0.9759036,405,0.7142857,335,267,0.7970149,252,0.9438202,260,0.9737828,177,0.6807692,307,238,0.7752443,238,1,238,1,165,0.6932773,28,14,0.5,14,1,14,1,7,0.5,424,314,0.740566,289,0.9203822,307,0.977707,228,0.742671,392,278,0.7091837,278,1,276,0.9928058,211,0.7644928,32,11,0.34375,11,1,11,1,8,0.7272727
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,554,456,0.8231047,329,0.7214912,449,0.9846491,289,0.6436526,214,180,0.8411215,130,0.7222222,178,0.9888889,120,0.6741573,202,124,0.6138614,124,1,122,0.983871,92,0.7540984,12,6,0.5,6,1,6,1,4,0.6666667,340,276,0.8117647,199,0.7210145,271,0.9818841,169,0.6236162,321,187,0.5825545,187,1,182,0.973262,130,0.7142857,19,12,0.6315789,12,1,12,1,9,0.75
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1859,1718,0.9241528,1168,0.6798603,1705,0.9924331,1146,0.6721408,880,799,0.9079545,565,0.7071339,794,0.9937422,533,0.6712846,815,530,0.6503067,530,1,527,0.9943396,416,0.7893738,65,35,0.5384615,35,1,35,1,24,0.6857143,979,919,0.938713,603,0.656148,911,0.9912949,613,0.6728869,920,577,0.6271739,577,1,571,0.9896014,458,0.8021016,59,26,0.440678,26,1,26,1,22,0.8461538
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1000,918,0.918,718,0.7821351,913,0.9945534,630,0.6900329,453,438,0.9668874,369,0.8424658,433,0.9885845,315,0.7274827,422,338,0.8009479,338,1,334,0.9881657,262,0.7844311,31,31,1,31,1,31,1,26,0.8387097,547,480,0.8775137,349,0.7270833,480,1,315,0.65625,505,326,0.6455446,326,1,326,1,256,0.7852761,42,23,0.547619,23,1,23,1,15,0.6521739
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,870,700,0.8045977,471,0.6728571,574,0.82,298,0.5191638,406,352,0.8669951,221,0.6278409,295,0.8380682,154,0.5220339,380,209,0.55,209,1,204,0.9760766,126,0.6176471,26,12,0.4615385,12,1,11,0.9166667,3,0.2727273,464,348,0.75,250,0.7183908,279,0.8017241,144,0.516129,401,236,0.5885287,236,1,217,0.9194915,120,0.5529954,63,14,0.2222222,14,1,12,0.8571429,6,0.5
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1139,932,0.8182616,814,0.8733906,925,0.9924893,695,0.7513514,534,421,0.7883895,379,0.9002375,420,0.9976247,328,0.7809524,481,341,0.7089397,341,1,341,1,276,0.8093842,53,38,0.7169811,38,1,37,0.9736842,29,0.7837838,605,511,0.8446281,435,0.851272,505,0.9882583,367,0.7267327,544,406,0.7463235,406,1,402,0.9901478,312,0.7761194,61,29,0.4754098,29,1,29,1,18,0.6206897
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,869,890,1.0241657,767,0.8617978,885,0.994382,682,0.7706215,441,450,1.0204082,385,0.8555556,448,0.9955556,336,0.75,412,363,0.881068,363,1,361,0.9944904,276,0.7645429,29,22,0.7586207,22,1,22,1,18,0.8181818,428,440,1.0280374,382,0.8681818,437,0.9931818,346,0.791762,405,363,0.8962963,363,1,363,1,302,0.8319559,23,19,0.826087,19,1,19,1,16,0.8421053
RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,0,239,0,1,0.0041841,239,1,121,0.5062762,0,95,0,0,0,95,1,53,0.5578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,1,0.0069444,144,1,68,0.4722222,0,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0
NTY25,HOLLY HOUSE HOSPITAL,0,11,0,0,0,11,1,7,0.6363636,0,*,*,0,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,1,7,0.6363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,183,212,1.1584699,160,0.754717,211,0.995283,109,0.5165877,81,98,1.2098765,74,0.755102,98,1,54,0.5510204,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,102,114,1.1176471,86,0.754386,113,0.9912281,55,0.4867257,*,86,0.86,*,1,85,0.9883721,45,0.5294118,*,0,*,0,0,0,0,0,0
NVC25,HORTON NHS TREATMENT CENTRE,1160,889,0.7663793,860,0.9673791,887,0.9977503,743,0.837655,524,398,0.759542,389,0.9773869,398,1,345,0.8668342,514,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*,636,491,0.7720126,471,0.9592668,489,0.9959267,398,0.8139059,597,445,0.7453936,445,1,444,0.9977528,367,0.8265766,39,26,0.6666667,26,1,26,1,20,0.7692308
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,979,960,0.9805924,755,0.7864583,954,0.99375,637,0.6677149,502,471,0.938247,375,0.7961783,468,0.9936306,317,0.6773504,438,328,0.7488584,328,1,327,0.9969512,247,0.7553517,64,47,0.734375,47,1,47,1,34,0.7234043,477,489,1.0251572,380,0.7770961,486,0.993865,320,0.6584362,400,336,0.84,336,1,334,0.9940476,255,0.7634731,77,44,0.5714286,44,1,44,1,29,0.6590909
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,771,595,0.771725,491,0.8252101,534,0.897479,238,0.4456929,335,253,0.7552239,201,0.7944664,226,0.8932806,110,0.4867257,305,182,0.5967213,182,1,178,0.978022,92,0.5168539,30,19,0.6333333,19,1,17,0.8947368,9,0.5294118,436,342,0.7844037,290,0.8479532,308,0.9005848,128,0.4155844,411,278,0.676399,278,1,253,0.9100719,114,0.4505929,25,12,0.48,12,1,10,0.8333333,4,0.4
RGQ,IPSWICH HOSPITAL NHS TRUST,0,190,0,0,0,190,1,142,0.7473684,0,96,0,0,0,96,1,74,0.7708333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,94,1,68,0.7234043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1F,ISLE OF WIGHT NHS TRUST,413,319,0.7723971,231,0.7241379,315,0.9874608,205,0.6507937,201,148,0.7363184,106,0.7162162,146,0.9864865,103,0.7054795,186,*,*,*,*,*,*,*,*,15,*,*,*,*,*,*,*,*,212,171,0.8066038,125,0.7309942,169,0.9883041,102,0.6035503,201,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*
